Test_Time,Main_Voltage,Main_Current,Ambient_Temperature,Aux_dV/dT (V/s),Step Time,Step_Index
0.003,1.386621,0,23,-0.0001282833,0.003,1
0.022,1.386628,0,24,-0.0001282833,0.0027,2
0.0407,1.386586,0,24,0.0532816138,0.0028,3
0.3908,1.242055,-20.16376,23.3,0.5467947,0.3065,4
5.4032,1.048895,-40.00278,22,-0.0269387846,5.0022,5
5.7152,1.066748,-20.17037,22,-1.079917,0.3065,6
22.5194,0.9599876,-29.99982,22,0.0001528324,16.7528,7
24.5725,0.9507904,-30.00111,25,-0.0113877093,2.0023,8
24.8836,1.00669,-15.15411,24.6,-0.843454698,0.3056,9
45.214,0.9599943,-19.99888,24,0.0001531967,20.2807,10
47.2679,0.9556255,-20.00014,24,-0.0134604224,2.0034,11
47.5802,1.026617,-10.14061,25,-0.3426332378,0.3064,12
148.2998,0.9600048,-9.999886,26,4.60E-05,100.6691,13
151.0824,0.9599895,-10.00278,20,-0.0006305467,2.7309,14
151.394,0.9843884,-5.111885,21,0.3414301302,0.3065,15
792.5563,0.9599857,-6.999997,21,-7.86E-05,641.1122,16
809.5994,0.9599838,-7.001244,21.6,2.70E-05,16.9919,17
809.9116,0.9712267,-3.601532,22.8,-0.07869181,0.3061,18
37433.086,0.9600334,-3.999995,23.1,9.78E-05,36623.124,19
37436.3624,0.9599915,-4.000373,23,-0.0002595753,3.2259,20
37441.4033,1.15078,0,23.6,0.0191393278,5.0018,21
37441.4242,1.1513,0,24,0.0191393278,0.0048,22